WinningCards	DiscardedCards:0	DiscardedCards:1	ActionsPlayedWin:0
Baron	2	2	Baron
Baron	9	9	Baron,Handmaid,Prince,Countess
Baron	5	5	
Baron	8	8	
Baron	3	3	Baron
Baron.opp	2	2	
Guard	2	2	
Guard	2	2	
Baron.opp	2	2	
Baron	6	6	
Baron	2	2	
Guard	6	6	
Baron	5	5	Baron,Guard
Baron.opp	5	5	Countess,Handmaid
Baron.opp	3	3	Princess
Baron.opp	2	2	
Baron.opp	3	3	
Baron	10	10	Baron,Handmaid,Priest,Handmaid
Baron	3	3	
Prince.opp	2	2	
Baron	2	2	
Baron	5	5	
Baron	5	5	Baron,Guard
Baron.opp	5	5	Countess,Handmaid
Baron.opp	3	3	Princess
Guard	3	3	
Baron	4	4	
Guard	2	2	
Baron.opp	2	2	
Baron	6	6	
Baron	2	2	
King.end	10	10	Guard,Handmaid,Prince,Handmaid,Guard
Baron.opp	2	2	
Prince.opp	5	5	Prince,Priest
Baron	5	5	
Guard	7	7	
Baron	3	3	Baron
Baron	4	4	Baron,Priest
Baron	3	3	
Guard	8	8	
Baron.opp	2	2	
Baron.opp	6	6	Prince,Princess
Baron.opp	2	2	
Guard	5	5	
Baron	2	2	
Guard	11	11	
Baron.opp	3	3	Princess
Baron.opp	2	2	
Baron.opp	3	3	
Guard	6	6	
Prince.opp	11	11	Handmaid,Countess,Handmaid,Prince
Baron	6	6	
Baron	2	2	
Guard	2	2	
Baron	2	2	
Baron.opp	2	2	
Baron.opp	2	2	
Baron.end	10	10	
Baron.opp	2	2	
Baron.opp	10	10	Countess,Handmaid,Prince,Princess
Baron.opp	2	2	
Baron	4	4	Baron
Baron.opp	2	2	
Countess.end	10	10	
Countess.end	10	10	Priest,Guard,Baron,Prince,Priest
Guard	4	4	
Baron	9	9	Baron,Priest,Guard,Guard
Guard	4	4	Guard,Guard
Baron	3	3	
Prince.opp	6	6	Priest,Handmaid
Prince.opp	11	11	
Prince.opp	2	2	
Baron	2	2	
Baron	4	4	Baron
Prince.opp	3	3	Handmaid
Guard	8	8	
Prince.opp	7	7	Prince,Baron,Priest
Guard	6	6	
Guard	6	6	
Guard	11	11	
Guard	5	5	
Baron	6	6	Baron,Princess
Baron.opp	2	2	
King.end	10	10	
Baron	2	2	
Countess.end	10	10	
Prince.opp	7	7	Prince,Baron,Priest
Baron	9	9	Baron,Guard,Princess,King,Prince
Baron.opp	9	9	King,Guard,Guard,Guard
Prince.opp	10	10	
Baron	3	3	
Baron.opp	10	10	Countess,Handmaid,Guard,Princess
Baron.opp	2	2	
Guard	11	11	
Baron	2	2	
Guard	8	8	Guard,Priest,Prince
Baron	5	5	
Guard	5	5	Guard,Handmaid
Baron	9	9	
Baron.opp	5	5	
Baron	6	6	
Baron	2	2	
Baron	7	7	
Baron	2	2	
Guard	3	3	Guard
Baron	5	5	
Guard	4	4	
Guard	11	11	Guard,Princess,Guard,Priest,Countess
Baron	6	6	
Baron.opp	2	2	
Baron	6	6	Baron,Guard
Baron.opp	2	2	
Princess.end	10	10	
Baron.opp	3	3	
Baron.opp	11	11	
Guard	4	4	
Baron.opp	5	5	
Handmaid.end	10	10	
Baron	2	2	
Countess.end	10	10	Handmaid,Guard,Priest,Princess,Guard
Baron	7	7	
Guard	11	11	Guard,Priest,Baron,Prince,Guard,Princess
Guard	5	5	
King.end	10	10	Handmaid,Guard,Priest,Baron
Guard	4	4	Guard,Countess
Guard	7	7	
Guard	10	10	Guard,Handmaid,Prince,Guard
Guard	11	11	Guard,Prince,Countess,Baron,Guard,Guard
Guard	5	5	
Guard	3	3	Guard
Baron.opp	2	2	
Guard	9	9	
Baron	3	3	Baron
Guard	6	6	
Baron	9	9	Baron,Priest,Guard,Guard
Guard	11	11	Guard,Handmaid,Prince,Prince,Guard,Guard
Prince.opp	11	11	Guard,Prince,Guard,Prince,Guard,Countess,Priest
Guard	7	7	
Guard	5	5	Guard,Guard
Baron	6	6	Baron,Countess,Guard
Baron	6	6	Baron,Guard,Handmaid
Countess.end	10	10	Guard,Guard,Princess,King,Guard
Baron	5	5	
Guard	5	5	Guard,Princess
Guard	7	7	
Baron.opp	5	5	
Guard	6	6	
Baron	3	3	Baron
Baron.opp	4	4	
Baron	8	8	
Baron.opp	3	3	
Baron.opp	3	3	Priest
Baron	7	7	Baron,Guard,King
Guard	4	4	Guard,Guard
Guard	11	11	Guard,Handmaid,Prince,Prince,Guard,Guard
Prince.end	10	10	Guard,Guard,Prince,Guard,Countess,Priest
Guard	6	6	Guard,Countess,Guard
Baron	7	7	Baron,Guard,Priest,Guard
Guard	4	4	
Guard	7	7	Guard,Priest,Guard
Baron.opp	5	5	Guard,Guard
Prince.end	10	10	Guard,Guard,Prince,Priest,Guard,Countess
Guard	2	2	Guard
Baron.opp	4	4	
Baron.opp	8	8	Princess,Handmaid,Guard
Countess.end	10	10	Guard,Baron,Prince,Baron,Guard,Princess
Baron	2	2	Baron
Guard	8	8	Guard,Countess,King,Guard
Baron.opp	5	5	Guard,Guard
Prince.end	10	10	Guard,Handmaid,Guard,Prince,Countess,Priest
Baron.opp	2	2	
Baron.opp	4	4	Guard
Baron	8	8	Baron,Handmaid,Guard,Countess
Baron.opp	5	5	Guard,Handmaid
Baron	4	4	Baron,Handmaid
Baron	6	6	
Guard	11	11	
Baron	9	9	Baron,Guard,Priest,Baron
Baron	7	7	Baron,Guard,Priest,Guard
Guard	11	11	
Baron	3	3	Baron
Baron	2	2	Baron
Prince.opp	8	8	
Baron	2	2	
Baron	4	4	
Guard	4	4	
Prince.opp	11	11	Guard,Prince,Guard,Prince,Countess,Priest
Baron.opp	2	2	
Baron.opp	8	8	
Guard	6	6	
Baron.opp	3	3	
King.end	10	10	Handmaid,Guard,Princess,Handmaid
Guard	3	3	
Baron	2	2	
Princess.end	10	10	Guard,Handmaid,Prince,Guard
Baron.opp	9	9	Princess,Priest,King,Guard
Guard	3	3	
Baron.opp	2	2	
Baron.opp	4	4	Guard
Baron.opp	6	6	
Baron.opp	3	3	
Baron.opp	4	4	Guard
Guard	3	3	
Baron	2	2	
Princess.end	10	10	
Baron	5	5	Baron,Guard
Princess.end	10	10	
Guard	2	2	Guard
Baron.opp	6	6	
Guard	5	5	Guard,Handmaid
Baron	2	2	Baron
Guard	11	11	
Baron	2	2	
Baron	4	4	
Guard	2	2	
Baron.opp	6	6	King,Priest
Guard	6	6	
Guard	2	2	
King.end	10	10	
Baron	6	6	
Baron.opp	4	4	Guard
Guard	5	5	
Baron	2	2	
Princess.end	10	10	
Baron	5	5	Baron,Guard
Guard	11	11	Guard,Prince,Baron,Handmaid,Priest,Guard
Guard	11	11	Guard,Guard,Priest,Handmaid,Handmaid
Baron	4	4	Baron,Priest
Baron	7	7	
Baron	7	7	
Baron	6	6	Baron,Guard,Handmaid
Baron	4	4	Baron,Handmaid
Guard	7	7	
Baron	2	2	
Princess.end	10	10	
Baron	6	6	
Guard	4	4	
Guard	6	6	Guard,Handmaid
Baron	4	4	Baron,Priest
Guard	2	2	Guard
Guard	8	8	
Guard	2	2	
Baron	4	4	Baron,Handmaid
Baron	7	7	
Baron	2	2	
Baron	4	4	
Prince.opp	10	10	
Guard	11	11	Guard,Baron,Prince,Priest,Handmaid
Guard	7	7	Guard,Handmaid,Priest
Prince.end	10	10	
Baron	7	7	Baron,Guard,Guard
Guard	11	11	Guard,Baron,Prince,Guard,Guard,Handmaid
Baron.opp	3	3	Priest
Baron	8	8	Baron,Prince,Handmaid
Baron	7	7	
Baron	2	2	
Baron	4	4	
Guard	4	4	
Baron.opp	6	6	
Guard	6	6	
Guard	11	11	
Handmaid.end	10	10	
Baron	4	4	
Guard	2	2	
Princess.end	10	10	
Baron	4	4	Baron,Handmaid
Baron	2	2	Baron
Baron	7	7	
Baron	9	9	
Guard	11	11	Guard,Handmaid,Guard,Guard,Handmaid
Guard	11	11	
Baron.opp	4	4	
Guard	4	4	
Guard	7	7	Guard,Handmaid,Priest
Baron	8	8	Baron,Handmaid,Handmaid,Priest
Baron	4	4	Baron,Priest
Guard	6	6	Guard,Guard,Handmaid
Baron	7	7	Baron,Guard,Handmaid,Prince
Guard	11	11	
Baron	8	8	Baron,Prince,Priest
Baron	5	5	
Baron.opp	2	2	
Guard	3	3	
Guard	2	2	
Guard	11	11	Guard,Guard,Guard,Baron,Handmaid,Prince
Baron	2	2	Baron
Guard	5	5	
Baron	10	10	Baron,Guard,Guard,Guard,Prince
Baron.opp	3	3	Priest
Guard	8	8	
Baron.opp	7	7	Priest,King,Guard
Baron	2	2	Baron
Guard	8	8	Guard,Handmaid,Prince
Guard	6	6	
Guard	6	6	Guard,Handmaid
Baron	2	2	Baron
Guard	5	5	
Guard	4	4	
Baron	3	3	Baron
Baron.opp	9	9	Guard,King,Prince,Handmaid
Guard	2	2	Guard
Baron	2	2	Baron
Princess.end	10	10	
Baron	3	3	Baron
Baron	8	8	
Guard	11	11	
Guard	3	3	Guard
Baron.opp	7	7	Guard,Guard,Handmaid
Baron.opp	3	3	Priest
Guard	6	6	
Guard	7	7	
Baron.opp	2	2	
Guard	10	10	Guard,Handmaid,Guard,Handmaid,Prince
Baron.opp	6	6	Handmaid,Prince,Priest
Baron	2	2	Baron
Baron	4	4	Baron,Priest
Guard	5	5	
Guard	11	11	
Baron	3	3	Baron
Guard	4	4	Guard,Handmaid
Baron	5	5	
Baron.opp	2	2	
Baron	7	7	
Baron	3	3	Baron
Baron	2	2	Baron
Baron.opp	2	2	
Guard	7	7	Guard,Priest,Guard
Baron.opp	5	5	Guard,Guard
Baron.opp	7	7	Guard,Guard,Handmaid
Baron.opp	9	9	Priest,Handmaid,Princess,Priest
Guard	8	8	Guard,King,Prince,Handmaid
Guard	7	7	Guard,Priest,Prince,Guard
Baron	2	2	Baron
Guard.end	10	10	
Baron	3	3	Baron
Baron	9	9	Baron,Priest,Guard,Handmaid,Prince
Guard	5	5	
Guard	6	6	Guard,King
Baron.opp	6	6	
Baron.opp	2	2	
Baron.opp	7	7	Guard,Prince,Handmaid
Baron	4	4	
Baron.opp	10	10	Guard,Priest,Guard,Guard
Baron.opp	2	2	
Guard	8	8	
Guard	9	9	
Guard	9	9	
Guard	3	3	
Baron.opp	9	9	
Baron	8	8	Baron,Priest,Priest,Guard
Baron	2	2	Baron
Guard	8	8	Guard,Handmaid,Prince
Baron	6	6	
Baron.opp	8	8	Priest,Guard,Guard
Baron.opp	2	2	
Baron.opp	5	5	
Guard	6	6	Guard,Handmaid,Baron
Guard	5	5	
Countess.end	10	10	Guard,Handmaid,Priest,Baron,Prince
Prince.end	10	10	Guard,Countess,Priest,Prince,Handmaid,Guard
Baron	8	8	
Baron	8	8	Baron,Priest,Priest,Guard
Baron	2	2	Baron
Guard	8	8	
Princess.end	10	10	
Prince.opp	10	10	
Baron	2	2	
Baron.opp	5	5	
Baron	6	6	Baron,Handmaid
Baron.opp	2	2	
Baron	5	5	Baron,Guard,Prince
Baron	2	2	Baron
Baron	9	9	
Baron	3	3	Baron
Baron	2	2	Baron
Baron.opp	2	2	
Baron.opp	3	3	
Countess.end	10	10	
Guard	2	2	
Countess.end	10	10	
Countess.end	10	10	Guard,Priest,Handmaid,Handmaid,Guard
Baron	2	2	Baron
Baron	4	4	Baron,Priest
Baron	2	2	Baron
Baron	9	9	
Baron	3	3	Baron
Baron	2	2	Baron
Baron.opp	2	2	
Baron.opp	5	5	
Guard	7	7	
Guard	5	5	Guard,Priest
