GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1160790037,GoFish,0,GAME_OVER,101,34,2,2,mcts-500,3.0,10.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-1498142046,GoFish,0,GAME_OVER,103,37,2,3,mcts-500,3.0,10.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-418802376,GoFish,0,GAME_OVER,94,35,2,4,mcts-500,3.0,10.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-2052236361,GoFish,0,GAME_OVER,96,38,2,5,mcts-500,7.0,6.0,mcts-1000,1,mcts-500,1,2,2,mcts-1000,mcts-1000,mcts-500,1
890666145,GoFish,0,GAME_OVER,99,36,2,6,mcts-500,4.0,9.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
1569238478,GoFish,0,GAME_OVER,98,32,2,7,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-187469389,GoFish,0,GAME_OVER,99,38,2,8,mcts-500,10.0,3.0,mcts-1000,1,mcts-500,1,2,2,mcts-1000,mcts-1000,mcts-500,1
-42752577,GoFish,0,GAME_OVER,99,35,2,9,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-1337774010,GoFish,0,GAME_OVER,103,36,2,10,mcts-500,6.0,7.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-721901013,GoFish,0,GAME_OVER,100,36,2,11,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
1992352636,GoFish,0,GAME_OVER,98,37,2,12,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-2117472527,GoFish,0,GAME_OVER,100,35,2,13,mcts-500,3.0,10.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-1821004186,GoFish,0,GAME_OVER,106,37,2,14,mcts-500,4.0,9.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
1026227815,GoFish,0,GAME_OVER,103,39,2,15,mcts-500,7.0,6.0,mcts-1000,1,mcts-500,1,2,2,mcts-1000,mcts-1000,mcts-500,1
-651141359,GoFish,0,GAME_OVER,105,39,2,16,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-906896864,GoFish,0,GAME_OVER,96,38,2,17,mcts-500,7.0,6.0,mcts-1000,1,mcts-500,1,2,2,mcts-1000,mcts-1000,mcts-500,1
1342710703,GoFish,0,GAME_OVER,102,35,2,18,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
2046903153,GoFish,0,GAME_OVER,108,41,2,19,mcts-500,3.0,10.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
-1086811407,GoFish,0,GAME_OVER,101,40,2,20,mcts-500,5.0,8.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
744610857,GoFish,0,GAME_OVER,102,36,2,21,mcts-500,6.0,7.0,mcts-1000,2,mcts-500,2,1,1,mcts-1000,mcts-1000,mcts-500,0
1160790037,GoFish,0,GAME_OVER,103,36,2,22,mcts-500,4.0,9.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
-1498142046,GoFish,0,GAME_OVER,107,39,2,23,mcts-500,6.0,7.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
-418802376,GoFish,0,GAME_OVER,105,36,2,24,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-2052236361,GoFish,0,GAME_OVER,101,37,2,25,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
890666145,GoFish,0,GAME_OVER,104,39,2,26,mcts-500,4.0,9.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
1569238478,GoFish,0,GAME_OVER,99,35,2,27,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-187469389,GoFish,0,GAME_OVER,95,36,2,28,mcts-500,6.0,7.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
-42752577,GoFish,0,GAME_OVER,99,37,2,29,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-1337774010,GoFish,0,GAME_OVER,103,39,2,30,mcts-500,9.0,4.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-721901013,GoFish,0,GAME_OVER,98,35,2,31,mcts-500,3.0,10.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
1992352636,GoFish,0,GAME_OVER,96,33,2,32,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-2117472527,GoFish,0,GAME_OVER,99,37,2,33,mcts-500,6.0,7.0,random,2,mcts-500,2,1,1,random,random,mcts-500,0
-1821004186,GoFish,0,GAME_OVER,99,35,2,34,mcts-500,7.0,6.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
1026227815,GoFish,0,GAME_OVER,97,36,2,35,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-651141359,GoFish,0,GAME_OVER,102,34,2,36,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
-906896864,GoFish,0,GAME_OVER,99,38,2,37,mcts-500,8.0,5.0,random,1,mcts-500,1,2,2,random,random,mcts-500,1
