GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),Heroes(Hero 2 Archetype),Heroes(Hero 1 Archetype),Heroes(Hero 1 Class),Heroes(Hero 3 Class),Heroes(Hero 2 Class),Heroes(Hero 1),Heroes(Hero 3),Heroes(Hero 3 Archetype),Heroes(Hero 2)
-2106311596,Descent2e,0,ABOUT_TO_START,0,0,4,2,"(8,3)","(2,15)",,"(11,5)","(1,15)","(2,16)",,"(5,4)",,"(2,3)","(3,7)","(2,4)","(10,3)",Scout,Mage,Runemaster,Disciple,Thief,Leoric of the Book,Avric Albright,Healer,Tomble Burrowell
-434876880,Descent2e,0,ABOUT_TO_START,0,0,4,3,"(11,4)","(1,15)",,"(10,3)","(2,16)","(1,16)",,"(5,5)",,"(2,3)","(5,4)","(3,4)","(9,4)",Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Syndrael
-1531226042,Descent2e,0,ABOUT_TO_START,0,0,4,4,"(9,3)","(2,16)",,"(8,2)","(1,15)","(1,16)",,"(3,5)",,"(5,5)","(3,3)","(3,7)","(6,3)",Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Widow Tarha,Mage,Ashrian
1472162448,Descent2e,0,ABOUT_TO_START,0,0,4,5,"(10,5)","(2,15)",,"(6,5)","(1,15)","(1,16)",,"(2,7)",,"(4,5)","(2,2)","(3,5)","(7,2)",Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Leoric of the Book,Mage,Tomble Burrowell
1098128611,Descent2e,0,ABOUT_TO_START,0,0,4,6,"(9,4)","(2,15)",,"(8,6)","(1,16)","(1,15)",,"(2,5)",,"(5,2)","(2,2)","(5,4)","(10,5)",Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Avric Albright,Healer,Grisban the Thirsty
726075031,Descent2e,0,ABOUT_TO_START,0,0,4,7,"(10,6)","(2,16)",,"(10,3)","(2,15)","(1,15)",,"(5,7)",,"(4,2)","(3,4)","(5,6)","(7,2)",Scout,Healer,Disciple,Runemaster,Thief,Ashrian,Widow Tarha,Mage,Tomble Burrowell
1949019889,Descent2e,0,ABOUT_TO_START,0,0,4,8,"(10,6)","(1,16)",,"(10,3)","(2,16)","(2,15)",,"(2,6)",,"(3,5)","(4,7)","(2,4)","(11,4)",Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Tomble Burrowell,Scout,Widow Tarha
-868400014,Descent2e,0,ABOUT_TO_START,0,0,4,9,"(9,6)","(2,15)",,"(6,4)","(2,16)","(1,16)",,"(5,6)",,"(4,5)","(4,3)","(2,6)","(11,6)",Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Jain Fairwood,Scout,Widow Tarha
1658705723,Descent2e,0,ABOUT_TO_START,0,0,4,10,"(11,6)","(2,15)",,"(7,4)","(1,16)","(2,16)",,"(2,7)",,"(3,6)","(4,2)","(3,7)","(10,6)",Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Leoric of the Book,Mage,Grisban the Thirsty
-1459022739,Descent2e,0,ABOUT_TO_START,0,0,4,11,"(6,3)","(2,16)",,"(11,4)","(1,15)","(2,15)",,"(2,5)",,"(4,4)","(2,7)","(4,7)","(9,6)",Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Leoric of the Book,Mage,Avric Albright
686380075,Descent2e,0,ABOUT_TO_START,0,0,4,12,"(9,5)","(2,15)",,"(9,2)","(1,15)","(2,16)",,"(5,3)",,"(5,2)","(3,6)","(3,5)","(10,4)",Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Ashrian,Healer,Grisban the Thirsty
-1832735679,Descent2e,0,ABOUT_TO_START,0,0,4,13,"(6,4)","(1,16)",,"(11,4)","(1,15)","(2,15)",,"(2,6)",,"(5,4)","(4,7)","(4,3)","(8,2)",Healer,Scout,Thief,Berserker,Disciple,Tomble Burrowell,Grisban the Thirsty,Warrior,Avric Albright
-170836685,Descent2e,0,ABOUT_TO_START,0,0,4,14,"(10,4)","(2,16)",,"(11,6)","(1,16)","(2,15)",,"(2,3)",,"(5,2)","(3,2)","(4,4)","(6,5)",Healer,Scout,Thief,Berserker,Disciple,Jain Fairwood,Grisban the Thirsty,Warrior,Avric Albright
192253389,Descent2e,0,ABOUT_TO_START,0,0,4,15,"(6,5)","(1,16)",,"(8,6)","(1,15)","(2,15)",,"(3,4)",,"(3,3)","(3,5)","(2,5)","(8,3)",Warrior,Healer,Disciple,Runemaster,Berserker,Ashrian,Widow Tarha,Mage,Syndrael
-1288883639,Descent2e,0,ABOUT_TO_START,0,0,4,16,"(10,4)","(2,16)",,"(6,2)","(1,15)","(2,15)",,"(2,2)",,"(5,3)","(5,7)","(2,5)","(8,2)",Mage,Healer,Disciple,Thief,Runemaster,Avric Albright,Tomble Burrowell,Scout,Widow Tarha
495210545,Descent2e,0,ABOUT_TO_START,0,0,4,17,"(10,3)","(2,16)",,"(9,4)","(1,15)","(1,16)",,"(4,6)",,"(5,2)","(4,2)","(5,3)","(7,2)",Warrior,Scout,Thief,Runemaster,Berserker,Tomble Burrowell,Widow Tarha,Mage,Syndrael
