GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 1 HP,Goblin Master HP,Overlord Fatigue,Goblin Minion 1 HP,Goblin Minion 2 HP,Hero 3 HP,Hero 4 HP,Goblin Minion 3 HP,Goblin Minion 4 HP,Hero 2 HP,Barghest Minion 2 HP,Barghest Minion 1 HP,Barghest Minion 3 HP,Barghest Master HP
-2106311596,Descent2e,0,ROUND_OVER,72,10,4,2,3,4,0,2,2,12,,2,,8,6,6,,8
-2106311596,Descent2e,1,ROUND_OVER,151,9,4,2,3,4,1,2,2,8,,2,,8,6,4,,8
-2106311596,Descent2e,2,ROUND_OVER,180,9,4,2,2,4,3,2,2,8,,2,,8,Dead,6,,6
-2106311596,Descent2e,3,ROUND_OVER,212,9,4,2,0,4,5,2,2,12,,2,,8,Dead,6,,2
-2106311596,Descent2e,4,ROUND_OVER,238,8,4,2,5,4,7,2,2,12,,2,,8,Dead,5,,Dead
-2106311596,Descent2e,5,GAME_OVER,239,0,4,2,5,4,7,2,2,12,,2,,8,Dead,5,,Dead
-434876880,Descent2e,0,ROUND_OVER,124,10,4,3,8,4,1,2,2,4,,2,,11,3,6,,8
-434876880,Descent2e,1,ROUND_OVER,160,9,4,3,8,4,3,2,2,4,,2,,11,Dead,6,,8
-434876880,Descent2e,2,ROUND_OVER,208,9,4,3,8,4,5,2,2,4,,2,,8,Dead,6,,8
-434876880,Descent2e,3,ROUND_OVER,254,9,4,3,8,4,7,2,2,4,,2,,8,Dead,6,,8
-434876880,Descent2e,4,GAME_OVER,255,0,4,3,8,4,7,2,2,4,,2,,8,Dead,6,,8
-1531226042,Descent2e,0,ROUND_OVER,102,9,4,4,8,4,1,2,2,10,,2,,10,6,6,,8
-1531226042,Descent2e,1,ROUND_OVER,149,10,4,4,8,4,3,2,2,10,,2,,10,6,6,,5
-1531226042,Descent2e,2,ROUND_OVER,199,9,4,4,8,4,5,2,2,10,,2,,10,6,6,,Dead
-1531226042,Descent2e,3,ROUND_OVER,230,9,4,4,5,4,7,2,2,10,,2,,7,3,6,,Dead
-1531226042,Descent2e,4,GAME_OVER,232,0,4,4,5,4,7,2,2,10,,2,,7,3,6,,Dead
1472162448,Descent2e,0,ROUND_OVER,85,10,4,5,5,4,0,2,2,8,,2,,8,3,6,,8
1472162448,Descent2e,1,ROUND_OVER,125,9,4,5,2,4,1,2,2,6,,2,,8,Dead,6,,6
1472162448,Descent2e,2,ROUND_OVER,152,8,4,5,2,4,3,2,2,6,,2,,8,Dead,6,,Dead
1472162448,Descent2e,3,ROUND_OVER,183,8,4,5,1,4,5,2,2,6,,2,,8,Dead,4,,Dead
1472162448,Descent2e,4,GAME_OVER,185,0,4,5,1,4,5,2,2,6,,2,,8,Dead,Dead,,Dead
1098128611,Descent2e,0,ROUND_OVER,107,10,4,6,8,1,1,2,2,12,,2,,14,6,6,,8
1098128611,Descent2e,1,ROUND_OVER,160,10,4,6,8,1,3,2,2,12,,2,,14,3,2,,8
1098128611,Descent2e,2,ROUND_OVER,208,10,4,6,8,1,5,2,2,12,,2,,14,3,2,,8
