GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Hero 2 Archetype,Hero 1 Archetype,Hero 1 Class,Hero 3 Class,Hero 2 Class,Hero 1,Hero 3,Hero 3 Archetype,Hero 2
-2106311596,Descent2e,0,ABOUT_TO_START,0,0,4,2,Scout,Mage,Runemaster,Disciple,Thief,Leoric of the Book,Avric Albright,Healer,Tomble Burrowell
-434876880,Descent2e,0,ABOUT_TO_START,0,0,4,3,Warrior,Mage,Runemaster,Thief,Berserker,Leoric of the Book,Jain Fairwood,Scout,Syndrael
-1531226042,Descent2e,0,ABOUT_TO_START,0,0,4,4,Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Widow Tarha,Mage,Ashrian
1472162448,Descent2e,0,ABOUT_TO_START,0,0,4,5,Scout,Warrior,Berserker,Runemaster,Thief,Grisban the Thirsty,Leoric of the Book,Mage,Tomble Burrowell
1098128611,Descent2e,0,ABOUT_TO_START,0,0,4,6,Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Avric Albright,Healer,Grisban the Thirsty
726075031,Descent2e,0,ABOUT_TO_START,0,0,4,7,Scout,Healer,Disciple,Runemaster,Thief,Ashrian,Widow Tarha,Mage,Tomble Burrowell
1949019889,Descent2e,0,ABOUT_TO_START,0,0,4,8,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Tomble Burrowell,Scout,Widow Tarha
-868400014,Descent2e,0,ABOUT_TO_START,0,0,4,9,Mage,Warrior,Berserker,Thief,Runemaster,Syndrael,Jain Fairwood,Scout,Widow Tarha
1658705723,Descent2e,0,ABOUT_TO_START,0,0,4,10,Warrior,Healer,Disciple,Runemaster,Berserker,Avric Albright,Leoric of the Book,Mage,Grisban the Thirsty
-1459022739,Descent2e,0,ABOUT_TO_START,0,0,4,11,Healer,Scout,Thief,Runemaster,Disciple,Jain Fairwood,Leoric of the Book,Mage,Avric Albright
686380075,Descent2e,0,ABOUT_TO_START,0,0,4,12,Warrior,Scout,Thief,Disciple,Berserker,Jain Fairwood,Ashrian,Healer,Grisban the Thirsty
