GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
-2106311596,Descent2e,0,ABOUT_TO_START,0,0,4,2,"(8,3)","(2,15)",,"(11,5)","(1,15)","(2,16)",,"(5,4)",,"(2,3)","(3,7)","(2,4)","(10,3)"
-2106311596,Descent2e,0,ROUND_OVER,72,10,4,2,"(8,3)","(5,7)",,"(11,5)","(9,12)","(3,8)",,"(3,9)",,"(4,8)","(5,11)","(4,9)","(10,3)"
-2106311596,Descent2e,1,ROUND_OVER,151,9,4,2,"(9,5)","(6,3)",,"(8,7)","(10,5)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(7,2)","(10,3)"
-2106311596,Descent2e,2,ROUND_OVER,180,9,4,2,"(8,7)","(6,3)",,Dead,"(10,5)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(4,7)","(10,3)"
-2106311596,Descent2e,3,ROUND_OVER,212,9,4,2,"(8,7)","(6,3)",,Dead,"(8,6)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(5,12)","(10,3)"
-2106311596,Descent2e,4,ROUND_OVER,238,8,4,2,"(8,7)","(6,3)",,Dead,"(9,6)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(5,17)",Dead
-2106311596,Descent2e,5,GAME_OVER,239,0,4,2,"(8,7)","(6,3)",,Dead,"(9,6)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(5,17)",Dead
-434876880,Descent2e,0,ABOUT_TO_START,0,0,4,3,"(11,4)","(1,15)",,"(10,3)","(2,16)","(1,16)",,"(5,5)",,"(2,3)","(5,4)","(3,4)","(9,4)"
-434876880,Descent2e,0,ROUND_OVER,124,10,4,3,"(11,4)","(7,4)",,"(10,3)","(9,2)","(8,3)",,"(6,14)",,"(4,13)","(5,14)","(4,14)","(9,4)"
-434876880,Descent2e,1,ROUND_OVER,160,9,4,3,"(11,4)","(7,4)",,Dead,"(7,3)","(9,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)"
-434876880,Descent2e,2,ROUND_OVER,208,9,4,3,"(11,4)","(7,4)",,Dead,"(7,3)","(10,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)"
-434876880,Descent2e,3,ROUND_OVER,254,9,4,3,"(11,4)","(9,3)",,Dead,"(7,4)","(10,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)"
-434876880,Descent2e,4,GAME_OVER,255,0,4,3,"(11,4)","(9,3)",,Dead,"(7,4)","(10,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)"
-1531226042,Descent2e,0,ABOUT_TO_START,0,0,4,4,"(9,3)","(2,16)",,"(8,2)","(1,15)","(1,16)",,"(3,5)",,"(5,5)","(3,3)","(3,7)","(6,3)"
-1531226042,Descent2e,0,ROUND_OVER,102,9,4,4,"(9,3)","(7,4)",,"(8,2)","(4,5)","(5,4)",,"(4,14)",,"(4,10)","(5,12)","(11,5)","(6,3)"
-1531226042,Descent2e,1,ROUND_OVER,149,10,4,4,"(9,3)","(7,4)",,"(8,2)","(5,5)","(4,3)",,"(4,14)",,"(5,14)","(5,15)","(7,15)","(6,3)"
-1531226042,Descent2e,2,ROUND_OVER,199,9,4,4,"(9,3)","(7,5)",,"(8,2)","(6,2)","(7,3)",,"(4,14)",,"(5,14)","(5,15)","(6,14)",Dead
-1531226042,Descent2e,3,ROUND_OVER,230,9,4,4,"(9,3)","(8,4)",,"(8,2)","(9,5)","(7,3)",,"(4,14)",,"(5,14)","(5,15)","(6,14)",Dead
-1531226042,Descent2e,4,GAME_OVER,232,0,4,4,"(9,3)","(8,4)",,"(8,2)","(9,5)","(7,3)",,"(4,14)",,"(5,14)","(5,15)","(6,14)",Dead
1472162448,Descent2e,0,ABOUT_TO_START,0,0,4,5,"(10,5)","(2,15)",,"(6,5)","(1,15)","(1,16)",,"(2,7)",,"(4,5)","(2,2)","(3,5)","(7,2)"
1472162448,Descent2e,0,ROUND_OVER,85,10,4,5,"(10,5)","(5,6)",,"(6,5)","(6,3)","(5,4)",,"(5,12)",,"(4,10)","(3,7)","(5,9)","(7,2)"
1472162448,Descent2e,1,ROUND_OVER,125,9,4,5,"(10,5)","(5,6)",,Dead,"(6,3)","(6,2)",,"(3,14)",,"(5,14)","(4,12)","(4,14)","(7,2)"
1472162448,Descent2e,2,ROUND_OVER,152,8,4,5,"(10,5)","(5,4)",,Dead,"(8,3)","(6,2)",,"(3,14)",,"(5,14)","(6,14)","(4,14)",Dead
1472162448,Descent2e,3,ROUND_OVER,183,8,4,5,"(10,5)","(9,5)",,Dead,"(11,5)","(10,3)",,"(3,14)",,"(5,14)","(6,14)","(4,14)",Dead
1472162448,Descent2e,4,GAME_OVER,185,0,4,5,Dead,"(9,5)",,Dead,"(11,5)","(10,3)",,"(3,14)",,"(5,14)","(6,14)","(4,14)",Dead
1098128611,Descent2e,0,ABOUT_TO_START,0,0,4,6,"(9,4)","(2,15)",,"(8,6)","(1,16)","(1,15)",,"(2,5)",,"(5,2)","(2,2)","(5,4)","(10,5)"
1098128611,Descent2e,0,ROUND_OVER,107,10,4,6,"(9,4)","(6,4)",,"(8,6)","(6,5)","(5,6)",,"(3,14)",,"(4,7)","(5,12)","(4,14)","(10,5)"
1098128611,Descent2e,1,ROUND_OVER,160,10,4,6,"(7,2)","(6,4)",,"(8,6)","(6,6)","(7,7)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)"
1098128611,Descent2e,2,ROUND_OVER,208,10,4,6,"(7,2)","(6,4)",,"(8,6)","(7,7)","(7,5)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)"
1098128611,Descent2e,3,ROUND_OVER,248,9,4,6,"(8,6)","(9,3)",,Dead,"(7,7)","(9,5)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)"
1098128611,Descent2e,4,GAME_OVER,249,0,4,6,"(8,6)","(9,3)",,Dead,"(7,7)","(9,5)",,"(3,14)",,"(3,17)","(4,15)","(4,14)","(10,5)"
726075031,Descent2e,0,ABOUT_TO_START,0,0,4,7,"(10,6)","(2,16)",,"(10,3)","(2,15)","(1,15)",,"(5,7)",,"(4,2)","(3,4)","(5,6)","(7,2)"
726075031,Descent2e,0,ROUND_OVER,103,10,4,7,"(10,6)","(9,7)",,"(10,3)","(8,8)","(9,8)",,"(3,14)",,"(5,11)","(4,13)","(5,16)","(7,2)"
726075031,Descent2e,1,ROUND_OVER,137,9,4,7,"(10,3)","(9,7)",,Dead,"(9,4)","(11,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)"
726075031,Descent2e,2,ROUND_OVER,164,8,4,7,Dead,"(9,3)",,Dead,"(8,4)","(11,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)"
726075031,Descent2e,3,ROUND_OVER,187,8,4,7,Dead,"(8,2)",,Dead,"(5,4)","(7,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)"
726075031,Descent2e,4,GAME_OVER,189,0,4,7,Dead,"(8,2)",,Dead,"(5,4)","(7,4)",,"(3,14)",,"(4,14)","(4,15)","(5,16)","(7,2)"
1949019889,Descent2e,0,ABOUT_TO_START,0,0,4,8,"(10,6)","(1,16)",,"(10,3)","(2,16)","(2,15)",,"(2,6)",,"(3,5)","(4,7)","(2,4)","(11,4)"
1949019889,Descent2e,0,ROUND_OVER,114,10,4,8,"(10,6)","(9,7)",,"(9,4)","(9,5)","(9,8)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)"
1949019889,Descent2e,1,ROUND_OVER,135,9,4,8,"(9,4)","(9,7)",,Dead,"(11,6)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)"
1949019889,Descent2e,2,ROUND_OVER,161,9,4,8,"(9,4)","(8,4)",,Dead,"(9,5)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)"
1949019889,Descent2e,3,ROUND_OVER,186,8,4,8,Dead,"(8,4)",,Dead,"(9,2)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)"
1949019889,Descent2e,4,GAME_OVER,187,0,4,8,Dead,"(8,4)",,Dead,"(9,2)","(10,5)",,"(6,15)",,"(5,15)","(5,16)","(5,14)","(11,4)"
-868400014,Descent2e,0,ABOUT_TO_START,0,0,4,9,"(9,6)","(2,15)",,"(6,4)","(2,16)","(1,16)",,"(5,6)",,"(4,5)","(4,3)","(2,6)","(11,6)"
-868400014,Descent2e,0,ROUND_OVER,119,10,4,9,"(9,6)","(5,4)",,"(6,4)","(7,3)","(4,6)",,"(4,15)",,"(4,14)","(5,12)","(5,16)","(11,6)"
-868400014,Descent2e,1,ROUND_OVER,160,9,4,9,"(9,6)","(5,3)",,Dead,"(10,4)","(4,6)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)"
-868400014,Descent2e,2,ROUND_OVER,205,9,4,9,"(9,6)","(8,6)",,Dead,"(10,5)","(9,4)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)"
-868400014,Descent2e,3,ROUND_OVER,244,9,4,9,"(9,6)","(8,6)",,Dead,"(10,6)","(9,5)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)"
-868400014,Descent2e,4,GAME_OVER,245,0,4,9,"(9,6)","(8,6)",,Dead,"(10,6)","(9,5)",,"(4,15)",,"(4,14)","(4,17)","(5,16)","(11,6)"
1658705723,Descent2e,0,ABOUT_TO_START,0,0,4,10,"(11,6)","(2,15)",,"(7,4)","(1,16)","(2,16)",,"(2,7)",,"(3,6)","(4,2)","(3,7)","(10,6)"
1658705723,Descent2e,0,ROUND_OVER,88,10,4,10,"(11,6)","(4,10)",,"(7,4)","(1,16)","(5,6)",,"(5,17)",,"(4,16)","(4,12)","(3,15)","(10,6)"
1658705723,Descent2e,1,ROUND_OVER,144,10,4,10,"(11,6)","(6,3)",,"(7,4)","(1,16)","(6,5)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)"
1658705723,Descent2e,2,ROUND_OVER,186,10,4,10,"(11,6)","(6,4)",,"(7,4)","(1,16)","(6,3)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)"
1658705723,Descent2e,3,ROUND_OVER,231,10,4,10,"(11,6)","(6,5)",,"(7,4)","(1,16)","(6,4)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)"
1658705723,Descent2e,4,GAME_OVER,232,0,4,10,"(11,6)","(6,5)",,"(7,4)","(1,16)","(6,4)",,"(5,17)",,"(4,16)","(3,16)","(3,15)","(10,6)"
-1459022739,Descent2e,0,ABOUT_TO_START,0,0,4,11,"(6,3)","(2,16)",,"(11,4)","(1,15)","(2,15)",,"(2,5)",,"(4,4)","(2,7)","(4,7)","(9,6)"
-1459022739,Descent2e,0,ROUND_OVER,123,10,4,11,"(6,3)","(8,7)",,"(11,4)","(10,7)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)"
-1459022739,Descent2e,1,ROUND_OVER,158,10,4,11,"(6,3)","(8,6)",,"(11,4)","(11,6)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)"
-1459022739,Descent2e,2,ROUND_OVER,206,10,4,11,"(6,3)","(8,6)",,"(11,4)","(11,7)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)"
-1459022739,Descent2e,3,ROUND_OVER,251,10,4,11,"(6,3)","(8,6)",,"(11,4)","(10,6)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)"
-1459022739,Descent2e,4,GAME_OVER,252,0,4,11,"(6,3)","(8,6)",,"(11,4)","(10,6)","(5,4)",,"(5,15)",,"(5,14)","(4,14)","(4,16)","(9,6)"
