GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,RoundCounter(RoundCounter),Kills(Barghest Minion 1),Kills(Hero 1),Kills(Barghest Minion 3),Kills(Barghest Minion 2),Kills(Hero 3),Kills(Hero 2),Kills(Hero 4),Kills(Goblin Minion 3),Kills(Goblin Minion 4),Kills(Goblin Minion 1),Kills(Goblin Minion 2),Kills(Goblin Master),Kills(Barghest Master),Positions(Barghest Minion 1),Positions(Hero 1),Positions(Barghest Minion 3),Positions(Barghest Minion 2),Positions(Hero 3),Positions(Hero 2),Positions(Hero 4),Positions(Goblin Minion 3),Positions(Goblin Minion 4),Positions(Goblin Minion 1),Positions(Goblin Minion 2),Positions(Goblin Master),Positions(Barghest Master),HealthPoints(Hero 1 HP),HealthPoints(Goblin Master HP),HealthPoints(Overlord Fatigue),HealthPoints(Goblin Minion 1 HP),HealthPoints(Goblin Minion 2 HP),HealthPoints(Hero 3 HP),HealthPoints(Hero 4 HP),HealthPoints(Goblin Minion 3 HP),HealthPoints(Goblin Minion 4 HP),HealthPoints(Hero 2 HP),HealthPoints(Barghest Minion 2 HP),HealthPoints(Barghest Minion 1 HP),HealthPoints(Barghest Minion 3 HP),HealthPoints(Barghest Master HP),GameScore(LeaderGap),GameScore(PlayerName-0),GameScore(Player-1),GameScore(Average),GameScore(Player-0),GameScore(Player-3),GameScore(Player-2),GameScore(PlayerName-1),GameScore(PlayerName-2),GameScore(PlayerName-3)
-2106311596,Descent2e,0,ROUND_OVER,72,10,4,2,,,,,,,,,,,,,,,"(8,3)","(5,7)",,"(11,5)","(9,12)","(3,8)",,"(3,9)",,"(4,8)","(5,11)","(4,9)","(10,3)",3,4,0,2,2,12,,2,,8,6,6,,8,0.0,OSLA,0.0,0.0,0.0,0.0,0.0,OSLA,OSLA,OSLA
-2106311596,Descent2e,1,ROUND_OVER,151,9,4,2,,,,,,,,,,,,,Goblin Archer master (7874) defeated by Tomble Burrowell (7848),,"(9,5)","(6,3)",,"(8,7)","(10,5)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(7,2)","(10,3)",3,4,1,2,2,8,,2,,8,6,4,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-2106311596,Descent2e,2,ROUND_OVER,180,9,4,2,,Barghest minion 1 (7924) defeated by Avric Albright (7862),,,,,,,,,,,,,"(8,7)","(6,3)",,Dead,"(10,5)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(4,7)","(10,3)",2,4,3,2,2,8,,2,,8,Dead,6,,6,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
-2106311596,Descent2e,3,ROUND_OVER,212,9,4,2,,,Leoric of the Book (7835) defeated by Goblin Archer master (92383),,,,,,,,,,,,"(8,7)","(6,3)",,Dead,"(8,6)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(5,12)","(10,3)",0,4,5,2,2,12,,2,,8,Dead,6,,2,3.8095238095238093,OSLA,-1.9047619047619047,-0.9523809523809523,1.9047619047619047,-1.9047619047619047,-1.9047619047619047,OSLA,OSLA,OSLA
-2106311596,Descent2e,4,ROUND_OVER,238,8,4,2,,,,,,,,,,,,,,Barghest master (7914) defeated by Tomble Burrowell (7848),"(8,7)","(6,3)",,Dead,"(9,6)","(6,5)",,"(4,14)",,"(3,15)","(3,14)","(5,17)",Dead,5,4,7,2,2,12,,2,,8,Dead,5,,Dead,0.0,OSLA,1.666666666666667,0.8333333333333335,-1.666666666666667,1.666666666666667,1.666666666666667,OSLA,OSLA,OSLA
-434876880,Descent2e,0,ROUND_OVER,124,10,4,3,,,,,,,,,,,,,,,"(11,4)","(7,4)",,"(10,3)","(9,2)","(8,3)",,"(6,14)",,"(4,13)","(5,14)","(4,14)","(9,4)",8,4,1,2,2,4,,2,,11,3,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
-434876880,Descent2e,1,ROUND_OVER,160,9,4,3,,,,,Barghest minion 2 (125684) defeated by Jain Fairwood (125612),,,,,,,,,,"(11,4)","(7,4)",,Dead,"(7,3)","(9,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)",8,4,3,2,2,4,,2,,11,Dead,6,,8,0.0,OSLA,1.1904761904761907,0.5952380952380953,-1.1904761904761907,1.1904761904761907,1.1904761904761907,OSLA,OSLA,OSLA
-434876880,Descent2e,2,ROUND_OVER,208,9,4,3,,,,,,,,,,,,,,,"(11,4)","(7,4)",,Dead,"(7,3)","(10,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)",8,4,5,2,2,4,,2,,8,Dead,6,,8,0.4761904761904763,OSLA,-0.23809523809523814,-0.11904761904761907,0.23809523809523814,-0.23809523809523814,-0.23809523809523814,OSLA,OSLA,OSLA
-434876880,Descent2e,3,ROUND_OVER,254,9,4,3,,,,,,,,,,,,,,,"(11,4)","(9,3)",,Dead,"(7,4)","(10,3)",,"(6,14)",,"(5,16)","(5,14)","(4,14)","(9,4)",8,4,7,2,2,4,,2,,8,Dead,6,,8,3.333333333333333,OSLA,-1.6666666666666665,-0.8333333333333333,1.6666666666666665,-1.6666666666666665,-1.6666666666666665,OSLA,OSLA,OSLA
-1531226042,Descent2e,0,ROUND_OVER,102,9,4,4,,,,,,,,,,,,,Goblin Archer master (266113) defeated by Jain Fairwood (266074),,"(9,3)","(7,4)",,"(8,2)","(4,5)","(5,4)",,"(4,14)",,"(4,10)","(5,12)","(11,5)","(6,3)",8,4,1,2,2,10,,2,,10,6,6,,8,1.4285714285714286,OSLA,-0.7142857142857143,-0.35714285714285715,0.7142857142857143,-0.7142857142857143,-0.7142857142857143,OSLA,OSLA,OSLA
