GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerIdx
-2106311596,Descent2e,5,GAME_OVER,239,0,4,2,0
-434876880,Descent2e,4,GAME_OVER,255,0,4,3,0
-1531226042,Descent2e,4,GAME_OVER,232,0,4,4,0
1472162448,Descent2e,4,GAME_OVER,185,0,4,5,1
1098128611,Descent2e,4,GAME_OVER,249,0,4,6,0
726075031,Descent2e,4,GAME_OVER,189,0,4,7,0
1949019889,Descent2e,4,GAME_OVER,187,0,4,8,0
-868400014,Descent2e,4,GAME_OVER,245,0,4,9,0
1658705723,Descent2e,4,GAME_OVER,232,0,4,10,0
-1459022739,Descent2e,4,GAME_OVER,252,0,4,11,0
686380075,Descent2e,4,GAME_OVER,240,0,4,12,0
-1832735679,Descent2e,4,GAME_OVER,208,0,4,13,0
-170836685,Descent2e,4,GAME_OVER,218,0,4,14,0
192253389,Descent2e,4,GAME_OVER,263,0,4,15,0
-1288883639,Descent2e,4,GAME_OVER,244,0,4,16,0
495210545,Descent2e,5,GAME_OVER,239,0,4,17,0
623067577,Descent2e,5,GAME_OVER,223,0,4,18,0
1348299175,Descent2e,4,GAME_OVER,250,0,4,19,0
-371345131,Descent2e,4,GAME_OVER,247,0,4,20,0
1431328153,Descent2e,4,GAME_OVER,226,0,4,21,0
-538768873,Descent2e,4,GAME_OVER,214,0,4,22,0
-131927630,Descent2e,4,GAME_OVER,237,0,4,23,0
625973931,Descent2e,4,GAME_OVER,238,0,4,24,0
-2122080756,Descent2e,4,GAME_OVER,239,0,4,25,0
-12038281,Descent2e,3,GAME_OVER,186,1,4,26,1
-1249517663,Descent2e,4,GAME_OVER,244,0,4,27,0
2136666787,Descent2e,4,GAME_OVER,265,0,4,28,0
-546977367,Descent2e,4,GAME_OVER,210,0,4,29,1
1617417385,Descent2e,4,GAME_OVER,236,0,4,30,0
167221652,Descent2e,4,GAME_OVER,256,0,4,31,0
1685666676,Descent2e,4,GAME_OVER,219,0,4,32,0
1184008882,Descent2e,4,GAME_OVER,239,0,4,33,0
-359467998,Descent2e,4,GAME_OVER,231,0,4,34,0
965886417,Descent2e,4,GAME_OVER,236,0,4,35,0
-33376745,Descent2e,4,GAME_OVER,225,0,4,36,0
1399594587,Descent2e,4,GAME_OVER,227,0,4,37,0
-1240233401,Descent2e,5,GAME_OVER,284,0,4,38,0
-1941664333,Descent2e,4,GAME_OVER,201,0,4,39,1
367536106,Descent2e,5,GAME_OVER,290,0,4,40,0
66846436,Descent2e,4,GAME_OVER,185,0,4,41,0
977649644,Descent2e,4,GAME_OVER,214,0,4,42,0
1148164066,Descent2e,4,GAME_OVER,203,1,4,43,1
-1028648233,Descent2e,4,GAME_OVER,197,0,4,44,0
1818501865,Descent2e,4,GAME_OVER,252,0,4,45,0
438663446,Descent2e,5,GAME_OVER,274,0,4,46,0
-581754428,Descent2e,4,GAME_OVER,215,0,4,47,0
760007605,Descent2e,5,GAME_OVER,288,0,4,48,0
-1487643144,Descent2e,4,GAME_OVER,226,0,4,49,0
1534946312,Descent2e,4,GAME_OVER,211,0,4,50,1
-2005403598,Descent2e,4,GAME_OVER,262,0,4,51,0
2077430509,Descent2e,4,GAME_OVER,261,0,4,52,0
-1038305692,Descent2e,4,GAME_OVER,232,0,4,53,0
1531061373,Descent2e,4,GAME_OVER,255,0,4,54,0
-133206162,Descent2e,4,GAME_OVER,227,0,4,55,0
-1569778848,Descent2e,4,GAME_OVER,256,0,4,56,0
-2077309864,Descent2e,4,GAME_OVER,233,0,4,57,0
-108824783,Descent2e,4,GAME_OVER,241,0,4,58,0
-130405803,Descent2e,5,GAME_OVER,301,0,4,59,0
-110105720,Descent2e,4,GAME_OVER,240,0,4,60,0
1416457774,Descent2e,4,GAME_OVER,221,0,4,61,0
1426270630,Descent2e,5,GAME_OVER,308,0,4,62,0
