GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Player,Action,ActionClass,ActionDescription,PlayerType,Size
-1533947634,Descent2e,0,ACTION_CHOSEN,0,0,5,2,1,games.descent2e.actions.herofeats.DoubleMoveAttack@963c6018,DoubleMoveAttack,"Heroic Feat: Move twice your speed, and can attack anytime during it.",OSLA,3
-1533947634,Descent2e,0,ACTION_CHOSEN,1,0,5,2,1,"Move by 7871 to (3,14)",Move,Move: NE,OSLA,4
-1533947634,Descent2e,0,ACTION_CHOSEN,2,0,5,2,1,"Move by 7871 to (4,13)",Move,Move: NE,OSLA,5
-1533947634,Descent2e,0,ACTION_CHOSEN,3,0,5,2,1,"Move by 7871 to (4,12)",Move,Move: N,OSLA,10
-1533947634,Descent2e,0,ACTION_CHOSEN,4,0,5,2,1,"Move by 7871 to (4,11)",Move,Move: N,OSLA,10
-1533947634,Descent2e,0,ACTION_CHOSEN,5,0,5,2,1,"Move by 7871 to (4,10)",Move,Move: N,OSLA,10
-1533947634,Descent2e,0,ACTION_CHOSEN,6,0,5,2,1,"Move by 7871 to (3,9)",Move,Move: NW,OSLA,11
-1533947634,Descent2e,0,ACTION_CHOSEN,7,0,5,2,1,"Move by 7871 to (4,8)",Move,Move: NE,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,8,0,5,2,1,"Move by 7871 to (4,7)",Move,Move: N,OSLA,11
-1533947634,Descent2e,0,ACTION_CHOSEN,9,0,5,2,1,"Move by 7871 to (4,6)",Move,Move: N,OSLA,9
-1533947634,Descent2e,0,ACTION_CHOSEN,10,0,5,2,1,Free Attack (Ranged) by 7871 on 7943,FreeAttack,Free Attack (Ranged) by Jain Fairwood on Goblin Archer minion (Range: 1.0),OSLA,9
-1533947634,Descent2e,0,ACTION_CHOSEN,11,0,5,2,1,games.descent2e.actions.StopMove@2b46a8e0,StopMove,End Movement action,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,12,0,5,2,1,End current decision phase,EndCurrentPhase,End current decision phase,OSLA,1
-1533947634,Descent2e,0,ACTION_CHOSEN,13,0,5,2,1,Get Movement Points,GetMovementPoints,Get Movement Points,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,14,0,5,2,1,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,15,0,5,2,1,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,16,0,5,2,1,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,17,0,5,2,1,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,18,0,5,2,1,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,19,0,5,2,1,"Move by 7871 to (4,5)",Move,Move: N,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,20,0,5,2,1,"Move by 7871 to (4,4)",Move,Move: N,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,21,0,5,2,1,"Move by 7871 to (4,3)",Move,Move: N,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,22,0,5,2,1,"Move by 7871 to (4,4)",Move,Move: S,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,23,0,5,2,1,"Move by 7871 to (4,3)",Move,Move: N,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,24,0,5,2,1,"Move by 7871 to (4,4)",Move,Move: S,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,25,0,5,2,1,"Move by 7871 to (4,3)",Move,Move: N,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,26,0,5,2,1,"Move by 7871 to (4,4)",Move,Move: S,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,27,0,5,2,1,"Move by 7871 to (4,3)",Move,Move: N,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,28,0,5,2,1,"Move by 7871 to (4,4)",Move,Move: S,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,29,1,5,2,2,Get Movement Points,GetMovementPoints,Get Movement Points,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,30,1,5,2,2,"Move by 7885 to (2,15)",Move,Move: E,OSLA,5
-1533947634,Descent2e,0,ACTION_CHOSEN,31,1,5,2,2,"Move by 7885 to (3,14)",Move,Move: NE,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,32,1,5,2,2,"Move by 7885 to (4,13)",Move,Move: NE,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,33,1,5,2,2,"Move by 7885 to (4,12)",Move,Move: N,OSLA,8
-1533947634,Descent2e,0,ACTION_CHOSEN,34,1,5,2,2,Get Movement Points,GetMovementPoints,Get Movement Points,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,35,1,5,2,2,"Move by 7885 to (4,11)",Move,Move: N,OSLA,9
-1533947634,Descent2e,0,ACTION_CHOSEN,36,1,5,2,2,"Move by 7885 to (5,10)",Move,Move: NE,OSLA,10
-1533947634,Descent2e,0,ACTION_CHOSEN,37,1,5,2,2,"Move by 7885 to (5,9)",Move,Move: N,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,38,1,5,2,2,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,39,1,5,2,2,"Move by 7885 to (5,8)",Move,Move: N,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,40,1,5,2,2,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,41,1,5,2,2,"Move by 7885 to (4,7)",Move,Move: NW,OSLA,4
-1533947634,Descent2e,0,ACTION_CHOSEN,42,1,5,2,2,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,43,1,5,2,2,"Move by 7885 to (4,6)",Move,Move: N,OSLA,9
-1533947634,Descent2e,0,ACTION_CHOSEN,44,1,5,2,2,Fatigue Movement Point,GetFatiguedMovementPoints,Spent 1 Stamina For 1 Movement Point,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,45,1,5,2,2,End Turn,EndTurn,End Turn,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,46,2,5,2,3,Get Movement Points,GetMovementPoints,Get Movement Points,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,47,2,5,2,3,"Move by 7899 to (2,15)",Move,Move: N,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,48,2,5,2,3,"Move by 7899 to (3,14)",Move,Move: NE,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,49,2,5,2,3,"Move by 7899 to (4,13)",Move,Move: NE,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,50,2,5,2,3,"Move by 7899 to (3,12)",Move,Move: NW,OSLA,9
-1533947634,Descent2e,0,ACTION_CHOSEN,51,2,5,2,3,Get Movement Points,GetMovementPoints,Get Movement Points,OSLA,2
-1533947634,Descent2e,0,ACTION_CHOSEN,52,2,5,2,3,"Move by 7899 to (4,11)",Move,Move: NE,OSLA,6
-1533947634,Descent2e,0,ACTION_CHOSEN,53,2,5,2,3,"Move by 7899 to (3,10)",Move,Move: NW,OSLA,10
-1533947634,Descent2e,0,ACTION_CHOSEN,54,2,5,2,3,"Move by 7899 to (3,9)",Move,Move: N,OSLA,7
-1533947634,Descent2e,0,ACTION_CHOSEN,55,2,5,2,3,"Move by 7899 to (3,8)",Move,Move: N,OSLA,6
