GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
346665430,SushiGo,3,GAME_OVER,27,0,4,2,1,RandomPlayer,1,2,2,4,4,3,Basic MCTS,3,OSLA,RMHC,RandomPlayer,35.0,27.0,18.0,25.0,Basic MCTS,OSLA,RMHC,Basic MCTS,RandomPlayer,RMHC,OSLA,1
879079583,SushiGo,3,GAME_OVER,27,0,4,3,1,OSLA,1,2,2,3,3,4,Basic MCTS,4,RandomPlayer,RMHC,OSLA,40.0,31.0,27.0,24.0,Basic MCTS,RandomPlayer,RMHC,Basic MCTS,OSLA,RMHC,RandomPlayer,1
-619666105,SushiGo,3,GAME_OVER,25,0,4,4,4,OSLA,4,2,2,3,3,1,RMHC,1,Basic MCTS,RandomPlayer,OSLA,18.0,28.0,27.0,35.0,RMHC,Basic MCTS,RandomPlayer,RMHC,OSLA,RandomPlayer,Basic MCTS,2
503938916,SushiGo,3,GAME_OVER,24,0,4,5,2,Basic MCTS,2,1,1,4,4,3,OSLA,3,RandomPlayer,RMHC,Basic MCTS,25.0,36.0,14.0,24.0,OSLA,RandomPlayer,RMHC,OSLA,Basic MCTS,RMHC,RandomPlayer,0
-428737539,SushiGo,3,GAME_OVER,25,0,4,6,1,OSLA,1,2,2,3,3,4,Basic MCTS,4,RMHC,RandomPlayer,OSLA,43.0,25.0,25.0,20.0,Basic MCTS,RMHC,RandomPlayer,Basic MCTS,OSLA,RandomPlayer,RMHC,1
-1745970416,SushiGo,3,GAME_OVER,26,0,4,7,1,RMHC,1,2,2,3,3,3,Basic MCTS,3,RandomPlayer,OSLA,RMHC,43.0,32.0,24.0,24.0,Basic MCTS,RandomPlayer,OSLA,Basic MCTS,RMHC,OSLA,RandomPlayer,1
-1436161366,SushiGo,3,GAME_OVER,26,0,4,8,2,OSLA,2,3,3,1,1,4,RandomPlayer,4,RMHC,Basic MCTS,OSLA,27.0,26.0,44.0,14.0,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,OSLA,Basic MCTS,RMHC,3
-1151041315,SushiGo,3,GAME_OVER,26,0,4,9,4,OSLA,4,2,2,1,1,3,RandomPlayer,3,RMHC,Basic MCTS,OSLA,27.0,30.0,35.0,28.0,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,OSLA,Basic MCTS,RMHC,3
697067980,SushiGo,3,GAME_OVER,24,0,4,10,1,Basic MCTS,1,2,2,4,4,3,RandomPlayer,3,RMHC,OSLA,Basic MCTS,37.0,36.0,29.0,35.0,RandomPlayer,RMHC,OSLA,RandomPlayer,Basic MCTS,OSLA,RMHC,1
1168140970,SushiGo,3,GAME_OVER,25,0,4,11,2,OSLA,2,4,4,1,1,3,RandomPlayer,3,RMHC,Basic MCTS,OSLA,30.0,27.0,50.0,29.0,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,OSLA,Basic MCTS,RMHC,3
-1491060889,SushiGo,3,GAME_OVER,27,0,4,12,2,Basic MCTS,2,1,1,3,3,4,RMHC,4,RandomPlayer,OSLA,Basic MCTS,32.0,36.0,30.0,24.0,RMHC,RandomPlayer,OSLA,RMHC,Basic MCTS,OSLA,RandomPlayer,0
-1819802610,SushiGo,3,GAME_OVER,26,0,4,13,2,OSLA,2,4,4,1,1,3,RMHC,3,RandomPlayer,Basic MCTS,OSLA,32.0,24.0,40.0,28.0,RMHC,RandomPlayer,Basic MCTS,RMHC,OSLA,Basic MCTS,RandomPlayer,3
-2121274456,SushiGo,3,GAME_OVER,26,0,4,14,2,Basic MCTS,2,1,1,4,4,3,RMHC,3,OSLA,RandomPlayer,Basic MCTS,32.0,36.0,15.0,20.0,RMHC,OSLA,RandomPlayer,RMHC,Basic MCTS,RandomPlayer,OSLA,0
259280696,SushiGo,3,GAME_OVER,25,0,4,15,1,OSLA,1,2,2,3,3,4,Basic MCTS,4,RMHC,RandomPlayer,OSLA,40.0,28.0,24.0,20.0,Basic MCTS,RMHC,RandomPlayer,Basic MCTS,OSLA,RandomPlayer,RMHC,1
1706137030,SushiGo,3,GAME_OVER,26,0,4,16,2,OSLA,2,3,3,1,1,4,Basic MCTS,4,RMHC,RandomPlayer,OSLA,31.0,24.0,38.0,21.0,Basic MCTS,RMHC,RandomPlayer,Basic MCTS,OSLA,RandomPlayer,RMHC,3
545138396,SushiGo,3,GAME_OVER,26,0,4,17,4,Basic MCTS,4,1,1,2,2,3,OSLA,3,RMHC,RandomPlayer,Basic MCTS,20.0,33.0,31.0,30.0,OSLA,RMHC,RandomPlayer,OSLA,Basic MCTS,RandomPlayer,RMHC,0
1376458976,SushiGo,3,GAME_OVER,25,0,4,18,4,Basic MCTS,4,1,1,3,3,2,RandomPlayer,2,OSLA,RMHC,Basic MCTS,20.0,45.0,25.0,36.0,RandomPlayer,OSLA,RMHC,RandomPlayer,Basic MCTS,RMHC,OSLA,0
1195311045,SushiGo,3,GAME_OVER,25,0,4,19,1,RMHC,1,4,4,2,2,3,Basic MCTS,3,OSLA,RandomPlayer,RMHC,43.0,15.0,40.0,19.0,Basic MCTS,OSLA,RandomPlayer,Basic MCTS,RMHC,RandomPlayer,OSLA,1
813477029,SushiGo,3,GAME_OVER,26,0,4,20,4,OSLA,4,2,2,3,3,1,RMHC,1,Basic MCTS,RandomPlayer,OSLA,20.0,32.0,24.0,44.0,RMHC,Basic MCTS,RandomPlayer,RMHC,OSLA,RandomPlayer,Basic MCTS,2
-1466178614,SushiGo,3,GAME_OVER,26,0,4,21,3,RMHC,3,4,4,1,1,2,RandomPlayer,2,OSLA,Basic MCTS,RMHC,25.0,22.0,33.0,28.0,RandomPlayer,OSLA,Basic MCTS,RandomPlayer,RMHC,Basic MCTS,OSLA,3
-118322159,SushiGo,3,GAME_OVER,25,0,4,22,4,RMHC,4,2,2,1,1,3,RandomPlayer,3,OSLA,Basic MCTS,RMHC,22.0,40.0,42.0,24.0,RandomPlayer,OSLA,Basic MCTS,RandomPlayer,RMHC,Basic MCTS,OSLA,3
-1428166355,SushiGo,3,GAME_OVER,26,0,4,23,2,RandomPlayer,2,4,4,1,1,3,RMHC,3,OSLA,Basic MCTS,RandomPlayer,34.0,21.0,37.0,27.0,RMHC,OSLA,Basic MCTS,RMHC,RandomPlayer,Basic MCTS,OSLA,3
1144294523,SushiGo,3,GAME_OVER,25,0,4,24,3,OSLA,3,2,2,4,4,1,RandomPlayer,1,Basic MCTS,RMHC,OSLA,29.0,35.0,22.0,45.0,RandomPlayer,Basic MCTS,RMHC,RandomPlayer,OSLA,RMHC,Basic MCTS,2
2100098225,SushiGo,3,GAME_OVER,26,0,4,25,2,RandomPlayer,2,3,3,4,4,1,OSLA,1,Basic MCTS,RMHC,RandomPlayer,33.0,28.0,27.0,46.0,OSLA,Basic MCTS,RMHC,OSLA,RandomPlayer,RMHC,Basic MCTS,2
23994827,SushiGo,3,GAME_OVER,27,0,4,26,1,RMHC,1,2,2,3,3,4,Basic MCTS,4,RandomPlayer,OSLA,RMHC,40.0,28.0,25.0,19.0,Basic MCTS,RandomPlayer,OSLA,Basic MCTS,RMHC,OSLA,RandomPlayer,1
1662792176,SushiGo,3,GAME_OVER,26,0,4,27,2,RMHC,2,3,3,4,4,1,OSLA,1,Basic MCTS,RandomPlayer,RMHC,30.0,28.0,24.0,36.0,OSLA,Basic MCTS,RandomPlayer,OSLA,RMHC,RandomPlayer,Basic MCTS,2
2013120665,SushiGo,3,GAME_OVER,27,0,4,28,3,RandomPlayer,3,2,2,1,1,4,OSLA,4,RMHC,Basic MCTS,RandomPlayer,25.0,25.0,40.0,23.0,OSLA,RMHC,Basic MCTS,OSLA,RandomPlayer,Basic MCTS,RMHC,3
