GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1170105035,SushiGo,3,GAME_OVER,85,0,3,2,1,OppAwareMCTS,1,2,2,3,OppAwareMCTS,3,Basic MCTS,OppAwareMCTS,65.0,50.0,33.0,OppAwareMCTS,Basic MCTS,OppAwareMCTS,OppAwareMCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,85,0,3,3,1,OppAwareMCTS,1,3,3,2,OppAwareMCTS,2,Basic MCTS,OppAwareMCTS,56.0,33.0,44.0,OppAwareMCTS,Basic MCTS,OppAwareMCTS,OppAwareMCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,4,2,OppAwareMCTS,2,1,1,3,OppAwareMCTS,3,RandomPlayer,OppAwareMCTS,46.0,57.0,36.0,OppAwareMCTS,RandomPlayer,OppAwareMCTS,OppAwareMCTS,RandomPlayer,0
-1170105035,SushiGo,3,GAME_OVER,84,0,3,5,1,OppAwareMCTS,1,2,2,3,OppAwareMCTS,3,RandomPlayer,OppAwareMCTS,53.0,43.0,34.0,OppAwareMCTS,RandomPlayer,OppAwareMCTS,OppAwareMCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,6,1,OppAwareMCTS,1,2,2,3,Basic MCTS,3,OppAwareMCTS,OppAwareMCTS,56.0,49.0,27.0,Basic MCTS,OppAwareMCTS,Basic MCTS,OppAwareMCTS,OppAwareMCTS,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,7,1,OppAwareMCTS,1,3,3,2,Basic MCTS,2,Basic MCTS,OppAwareMCTS,54.0,39.0,51.0,Basic MCTS,Basic MCTS,Basic MCTS,OppAwareMCTS,Basic MCTS,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,8,1,OppAwareMCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,OppAwareMCTS,51.0,46.0,41.0,Basic MCTS,RandomPlayer,Basic MCTS,OppAwareMCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,9,1,OppAwareMCTS,1,2,2,3,Basic MCTS,3,RandomPlayer,OppAwareMCTS,70.0,41.0,31.0,Basic MCTS,RandomPlayer,Basic MCTS,OppAwareMCTS,RandomPlayer,1
-1170105035,SushiGo,3,GAME_OVER,84,0,3,10,1,OppAwareMCTS,1,2,2,3,Basic MCTS,3,OppAwareMCTS,OppAwareMCTS,76.0,35.0,27.0,Basic MCTS,OppAwareMCTS,Basic MCTS,OppAwareMCTS,OppAwareMCTS,1
-1170105035,SushiGo,3,GAME_OVER,83,0,3,11,1,OppAwareMCTS,1,2,2,3,Basic MCTS,3,Basic MCTS,OppAwareMCTS,62.0,43.0,37.0,Basic MCTS,Basic MCTS,Basic MCTS,OppAwareMCTS,Basic MCTS,1
