Depth	Name	Value	Visits	Parent_Name	Game_State	Game_Features	Game_State_Heuristic	Action_Name	Best_Action
0	Node_1	0.00221	272	None	games.catan.CatanGameState@53b46a55	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.002}	0.200	None	p0 Buy:Road (x=3 y=2 edge=0)
1	Node_2	0.00	87	Node_1	games.catan.CatanGameState@7b9f1b04	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 Buy:Road (x=4 y=2 edge=2)	(Deep 0) Trade p0 to ?
1	Node_3	0.00	87	Node_1	games.catan.CatanGameState@4409c5c8	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.006}	0.200	p0 Buy:Road (x=4 y=3 edge=4)	DoNothing
1	Node_4	0.00612	98	Node_1	games.catan.CatanGameState@b78f9aa5	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 Buy:Road (x=3 y=2 edge=0)	p0 Buy:DevelopmentCard
2	Node_5	0.00	43	Node_2	games.catan.CatanGameState@ff99553c	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	DoNothing	(Deep 0) Trade p1 to ?
2	Node_6	0.00	43	Node_2	games.catan.CatanGameState@727eca3c	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	(Deep 0) Trade p0 to ?	(Deep 1) Trade p0 to p2: X ? for Y ?
2	Node_7	0.00	43	Node_3	games.catan.CatanGameState@94d34f2d	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	DoNothing	p1 Buy:Road
2	Node_8	0.00	43	Node_3	games.catan.CatanGameState@41cb909a	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	(Deep 0) Trade p0 to ?	(Deep 1) Trade p0 to p1: X ? for Y ?
2	Node_9	0.00	30	Node_4	games.catan.CatanGameState@c43ea3e1	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.006}	0.200	DoNothing	(Deep 0) Trade p1 to ?
2	Node_10	0.00606	33	Node_4	games.catan.CatanGameState@31da0790	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	(Deep 0) Trade p0 to ?	(Deep 1) Trade p0 to p1: X ? for Y ?
2	Node_11	0.0118	34	Node_4	games.catan.CatanGameState@96450ccd	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 Buy:DevelopmentCard	p0 plays Dev:ROAD_BUILDING
3	Node_12	0.00	14	Node_5	games.catan.CatanGameState@d79e9e40	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	DoNothing	DoNothing
3	Node_13	0.00	14	Node_5	games.catan.CatanGameState@ea7be319	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	(Deep 0) Trade p1 to ?	(Deep 1) Trade p1 to p0: X ? for Y ?
3	Node_14	0.00	14	Node_5	games.catan.CatanGameState@f9269d08	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.006}	0.200	p1 Buy:Road	p1 Buy:Road (x=3 y=5 edge=0)
