Depth	Name	Value	Visits	Parent_Name	Game_State	Game_Features	Game_State_Heuristic	Action_Name	Best_Action
0	Node_1	0.100	340	None	games.catan.CatanGameState@e4724c25	{"SCORE":1.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.002}	0.100	None	p0 settles (x=4 y=3 vertex=0) and builds road (edge=5)
1	Node_2	0.100	4	Node_1	games.catan.CatanGameState@adb5096	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=0 y=4 vertex=0) and builds road (edge=5)	Trade (p0 to p2 : 1 BRICK for 2 ORE)
1	Node_3	0.100	4	Node_1	games.catan.CatanGameState@8ccb16f6	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=1 vertex=1) and builds road (edge=0)	Trade (p0 to p1 : 1 GRAIN for 2 WOOL)
1	Node_4	0.100	4	Node_1	games.catan.CatanGameState@cc124649	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=0 vertex=2) and builds road (edge=1)	Trade (p0 to p2 : 2 GRAIN for 1 ORE)
1	Node_5	0.100	4	Node_1	games.catan.CatanGameState@c4844773	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=4 y=2 vertex=3) and builds road (edge=2)	Trade (p0 to p3 : 1 LUMBER for 2 GRAIN)
1	Node_6	0.100	4	Node_1	games.catan.CatanGameState@5b255add	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=2 y=3 vertex=2) and builds road (edge=1)	Trade (p0 to p3 : 1 GRAIN for 2 ORE)
1	Node_7	0.100	5	Node_1	games.catan.CatanGameState@2ef41b48	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=2 y=5 vertex=4) and builds road (edge=3)	Trade (p0 to p1 : 1 GRAIN for 1 BRICK)
1	Node_8	0.100	5	Node_1	games.catan.CatanGameState@88a74642	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=4 y=3 vertex=2) and builds road (edge=1)	Trade (p0 to p2 : 1 ORE for 1 LUMBER)
1	Node_9	0.100	4	Node_1	games.catan.CatanGameState@109c6c68	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=2 y=1 vertex=5) and builds road (edge=4)	Trade (p0 to p1 : 1 GRAIN for 1 WOOL)
1	Node_10	0.100	4	Node_1	games.catan.CatanGameState@16aaa68	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=4 y=5 vertex=3) and builds road (edge=2)	Trade (p0 to p2 : 1 ORE for 1 GRAIN)
1	Node_11	0.100	5	Node_1	games.catan.CatanGameState@1be2c0a8	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=4 y=2 vertex=0) and builds road (edge=5)	Trade (p0 to p2 : 1 LUMBER for 2 WOOL)
1	Node_12	0.100	5	Node_1	games.catan.CatanGameState@d0403bd	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=2 y=0 vertex=2) and builds road (edge=1)	Trade (p0 to p1 : 2 GRAIN for 1 LUMBER)
1	Node_13	0.100	5	Node_1	games.catan.CatanGameState@3ebdf53d	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=3 y=6 vertex=0) and builds road (edge=5)	Trade (p0 to p1 : 1 ORE for 1 LUMBER)
1	Node_14	0.100	4	Node_1	games.catan.CatanGameState@ddcd4139	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=4 vertex=5) and builds road (edge=4)	p0 Buy:Road (x=5 y=3 edge=1)
1	Node_15	0.100	5	Node_1	games.catan.CatanGameState@d15ca976	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=4 vertex=1) and builds road (edge=0)	Trade (p0 to p3 : 1 WOOL for 2 ORE)
1	Node_16	0.100	4	Node_1	games.catan.CatanGameState@4ddad864	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=3 vertex=2) and builds road (edge=1)	Trade (p0 to p1 : 1 BRICK for 1 LUMBER)
1	Node_17	0.100	5	Node_1	games.catan.CatanGameState@8cfdc8ce	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=3 y=2 vertex=0) and builds road (edge=5)	Trade (p0 to p2 : 1 LUMBER for 1 WOOL)
1	Node_18	0.100	5	Node_1	games.catan.CatanGameState@e95b6197	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=1 y=2 vertex=3) and builds road (edge=2)	Trade (p0 to p2 : 1 WOOL for 2 GRAIN)
1	Node_19	0.100	4	Node_1	games.catan.CatanGameState@b65951de	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=3 y=1 vertex=5) and builds road (edge=4)	DoNothing
1	Node_20	0.100	4	Node_1	games.catan.CatanGameState@5ba65326	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=5 y=5 vertex=4) and builds road (edge=3)	Trade (p0 to p1 : 1 ORE for 2 LUMBER)
1	Node_21	0.100	4	Node_1	games.catan.CatanGameState@fc40fdde	{"SCORE":2.0,"SCORE_ADV":0.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.004}	0.200	p0 settles (x=0 y=2 vertex=1) and builds road (edge=0)	Trade (p0 to p3 : 1 BRICK for 2 WOOL)
