Depth	Name	Value	Visits	Parent_Name	Game_State	Game_Features	Game_State_Heuristic	Action_Name	Best_Action
0	Node_1	0.00	306	None	games.catan.CatanGameState@4768b41f	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":1.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	None	DoNothing
1	Node_2	0.00	153	Node_1	games.catan.CatanGameState@b01ad2ba	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	DoNothing	Trade (p1 to p3 : 1 LUMBER for 1 BRICK)
1	Node_3	0.00	153	Node_1	games.catan.CatanGameState@78d0bd8c	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	p0 Buy:DevelopmentCard	p0 plays Dev:Monopoly (WOOL)
2	Node_4	0.00	2	Node_2	games.catan.CatanGameState@6dfe7371	{"SCORE":3.0,"SCORE_ADV":2.0,"ORDINAL":0.25,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.300	DoNothing	Trade (p2 to p0 : 2 BRICK for 1 WOOL)
2	Node_5	0.00	2	Node_2	games.catan.CatanGameState@ea4435cd	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p2 : 2 LUMBER for 1 GRAIN)	Trade (p1 to p2 : 2 LUMBER for 2 GRAIN)
2	Node_6	0.00	1	Node_2	games.catan.CatanGameState@e47e2628	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p0 : 1 ORE for 2 GRAIN)	p1 rejects trade
2	Node_7	0.00	1	Node_2	games.catan.CatanGameState@a39758d	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p2 : 1 ORE for 1 WOOL)	p1 rejects trade
2	Node_8	0.00	2	Node_2	games.catan.CatanGameState@2e244bec	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p0 : 1 LUMBER for 1 ORE)	p1 rejects trade
2	Node_9	0.00	2	Node_2	games.catan.CatanGameState@1d407591	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p2 : 2 ORE for 1 LUMBER)	p1 rejects trade
2	Node_10	0.00	1	Node_2	games.catan.CatanGameState@50818feb	{"SCORE":2.0,"SCORE_ADV":-2.0,"ORDINAL":0.5,"OUR_TURN":0.0,"HAS_WON":0.0,"FINAL_ORD":0.0,"ROUND":0.012}	0.200	Trade (p1 to p3 : 2 LUMBER for 1 GRAIN)	p1 rejects trade
